,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
17325,709490,902113,16000,16000,15975.0, 60 months,17.88,405.26,E,E5,XL Insurance,7 years,OWN,75500.0,Verified,Apr-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=709490,  Borrower added on 04/02/11 > This loan is for payment of IRS taxes and for a surgical procedure which is not fully covered by my insurance.<br/>,other,Settlement,198xx,DE,19.35,1.0,Dec-98,3.0,5.0,57.0,9.0,1.0,8979,85.5,27.0,f,0.0,0.0,23610.96951,23574.11,16000.0,7610.97,0.0,0.0,0.0,Dec-14,6214.37,,Jan-15,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
217965,1273339,1517729,11000,11000,11000.0, 36 months,6.03,334.8,A,A1,Federal Government ,3 years,RENT,57400.0,Verified,May-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1273339,"  Borrower added on 05/01/12 > I'd like to use the funds to pay-off a current personal loan with Bank of America.  I always pay my bills on time, and my excellent credit rating reflects this.  I have been working for the Federal Government for the last three years, which means I have a stable position.<br><br> Borrower added on 05/01/12 > I would like to use the loan to pay of a personal loan with Bank of America.  I work for the Federal Government, so I have a very secure position and my monthly income comfortably exceeds my expenses even including the payment for this loan.<br>",debt_consolidation,Debt Consolidation,402xx,KY,24.49,0.0,Dec-80,0.0,,,11.0,0.0,5342,24.0,28.0,f,0.0,0.0,11488.51,11488.51,11000.0,488.51,0.0,0.0,0.0,Mar-13,8478.22,,Mar-13,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
155719,3702268,4675542,3000,3000,3000.0, 36 months,10.16,97.03,B,B1,Farmer's Insurance,6 years,MORTGAGE,85000.0,Source Verified,Mar-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3702268,,credit_card,Debt Snowball,730xx,OK,9.9,1.0,Dec-00,0.0,8.0,,12.0,0.0,10082,49.4,20.0,w,0.0,0.0,3025.73,3025.73,3000.0,25.73,0.0,0.0,0.0,Apr-13,3025.88,,Apr-13,0.0,,1,INDIVIDUAL,,,,0.0,0.0,142614.0,,,,,,,,,,,,20400.0,,,
391129,16201614,18304095,15000,15000,14900.0, 36 months,9.17,478.19,B,B1,ACCOUNTANT,2 years,OWN,50000.0,Verified,May-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=16201614,,debt_consolidation,Debt consolidation,481xx,MI,29.45,0.0,Aug-95,0.0,33.0,54.0,11.0,1.0,786,8.0,36.0,f,7175.83,7127.99,9563.8,9500.04,7824.17,1739.63,0.0,0.0,0.0,Jan-16,478.19,Feb-16,Jan-16,0.0,33.0,1,INDIVIDUAL,,,,0.0,0.0,20758.0,,,,,,,,,,,,9800.0,,,
9753,839065,1049201,10000,10000,10000.0, 36 months,9.99,322.63,B,B1,Millenium Group,1 year,RENT,65000.0,Source Verified,Aug-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=839065,"  Borrower added on 08/08/11 > I am a junior trader at a multi-billion dollar global hedge fund. My employment is stable and my monthly living expenses do not exceed $1,000/month. I am looking for a little extra liquidity/freedom before bonus season in december. There is a large probability the entire loan will be paid off by the end of december 2011. If anyone has any questions, please do not hesitate to leave them for me.<br/>null",small_business,Seeking Liquidity Before Bonus Season,105xx,NY,1.61,0.0,Nov-97,1.0,,,4.0,0.0,5122,18.2,8.0,f,0.0,0.0,11606.89139,11606.89,10000.0,1606.89,0.0,0.0,0.0,Aug-14,351.86,,Aug-14,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
120138,5977647,7450076,9900,9900,9900.0, 36 months,14.33,339.95,C,C2,Department of Veterans Affairs,4 years,RENT,55000.0,Source Verified,Jul-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5977647,,debt_consolidation,Bills Consol Loan,152xx,PA,25.94,0.0,Dec-01,0.0,,,8.0,0.0,3720,80.9,21.0,w,1956.99,1956.99,10198.5,10198.5,7943.01,2255.49,0.0,0.0,0.0,Jan-16,339.95,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,80.0,26872.0,,,,,,,,,,,,4600.0,,,
296884,28584531,31107726,12000,12000,12000.0, 36 months,12.49,401.39,B,B5,Technician,5 years,RENT,60000.0,Not Verified,Oct-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=28584531,,credit_card,Credit card refinancing,331xx,FL,17.84,1.0,Nov-05,0.0,22.0,,14.0,0.0,13671,61.3,22.0,w,1578.95,1578.95,11619.46,11619.46,10421.05,1198.41,0.0,0.0,0.0,Jan-16,401.39,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,30051.0,,,,,,,,,,,,22300.0,,,
162895,3368521,4221287,5000,5000,5000.0, 36 months,14.09,171.11,B,B5,GEM Management,< 1 year,RENT,25000.0,Not Verified,Mar-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3368521,  Borrower added on 02/13/13 > I plan to pay off a credit card.  I have always had good credit.  I pay my bills on time.  Have been a homeowner.  Bought and sold several houses.  Never been turned down for a loan for house or for a car.   My 07 car is paid for. My job is with a stable company.<br>,debt_consolidation,credit card cleanup,280xx,NC,22.66,0.0,Jun-94,0.0,,,9.0,0.0,21433,77.4,26.0,w,337.22,337.22,5822.91,5822.91,4662.78,1160.13,0.0,0.0,0.0,Jan-16,171.11,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,21433.0,,,,,,,,,,,,27700.0,,,
464379,10110630,1793751,16000,16000,16000.0, 36 months,13.53,543.2,B,B5,RN Manager,10+ years,MORTGAGE,75000.0,Source Verified,Jan-14,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10110630,,debt_consolidation,Debt consolidation,228xx,VA,30.48,0.0,Apr-00,1.0,,,19.0,0.0,109235,60.3,33.0,w,0.0,0.0,9206.51,9206.51,1855.37,860.63,0.0,6490.51,676.6326,Jun-14,543.2,,Sep-14,0.0,,1,INDIVIDUAL,,,,0.0,0.0,242129.0,,,,,,,,,,,,143900.0,,,
53370,9294835,11126967,25000,25000,25000.0, 36 months,16.2,881.4,C,C4,Boatswainmate,10+ years,MORTGAGE,65000.0,Source Verified,Dec-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9294835,,debt_consolidation,Bill Pay Off,706xx,LA,29.56,0.0,Apr-00,1.0,,,17.0,0.0,32091,60.9,37.0,f,8953.83,8953.83,22034.92,22034.92,16046.17,5988.75,0.0,0.0,0.0,Jan-16,881.4,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,160241.0,,,,,,,,,,,,52700.0,,,
